   0,   5.08253e+07 
   1,   3.35381e+07 
   2,   2.16297e+07 
   3,   1.37766e+07 
   4,   8.60549e+06 
   5,   5.12510e+06 
   6,   2.90876e+06 
   7,   1.63329e+06 
   8,   8.98866e+05 
   9,   6.89581e+05 
  10,   4.70552e+05 
  11,   2.66494e+05 
  12,   1.75077e+05 
  13,   8.51511e+04 
  14,   7.07201e+04 
  15,   5.03019e+04 
  16,   1.04217e+04 
  17,   9.57272e+03 
  18,   4.10636e+03 
  21,   2.91051e+03 
  22,   2.18664e+03 
  23,   8.74179e+02 
  24,   3.41497e+02 
  25,  -1.03706e+03 
  26,  -4.70890e+03 
  28,  -5.20056e+03 
  29,  -5.56254e+03 
  30,  -6.34294e+03 
  31,  -6.55408e+03 
  32,  -7.10951e+03 
  34,  -8.16233e+03 
  35,  -8.26726e+03 
  36,  -8.50478e+03 
  37,  -8.76946e+03 
  39,  -9.02031e+03 
  40,  -9.38397e+03 
  41,  -9.75214e+03 
  42,  -9.81600e+03 
  44,  -9.99641e+03 
  45,  -1.00169e+04 
  46,  -1.03681e+04 
  47,  -1.06941e+04 
  48,  -1.08904e+04 
  50,  -1.15305e+04 
  52,  -1.18423e+04 
  53,  -1.19645e+04 
  54,  -1.20528e+04 
  56,  -1.21608e+04 
  57,  -1.22958e+04 
  59,  -1.23632e+04 
  60,  -1.24477e+04 
  61,  -1.25007e+04 
  62,  -1.25321e+04 
  63,  -1.26563e+04 
  64,  -1.27402e+04 
  66,  -1.28375e+04 
  67,  -1.28708e+04 
  68,  -1.29419e+04 
  70,  -1.30297e+04 
  72,  -1.31052e+04 
  73,  -1.31421e+04 
  74,  -1.32094e+04 
  75,  -1.32379e+04 
  77,  -1.33136e+04 
  78,  -1.33472e+04 
  79,  -1.34087e+04 
  81,  -1.34849e+04 
  82,  -1.35256e+04 
  83,  -1.35617e+04 
  85,  -1.36100e+04 
  86,  -1.36485e+04 
  87,  -1.36923e+04 
  88,  -1.37184e+04 
  89,  -1.37325e+04 
  90,  -1.37664e+04 
  92,  -1.38348e+04 
  93,  -1.38905e+04 
