  Frame NC3-PO4 PO4-GL1 GL1-GL2 GL1-C1A GL2-C1B C1A-C2A C2A-C3A C3A-C4A C4A-C5A C1B-C2B C2B-C3B C3B-C4B C4B-C5B
      0  -0.009   0.006  -0.037   0.027  -0.015   0.033   0.035   0.061   0.048   0.009  -0.006   0.017   0.005
      1  -0.037   0.004  -0.002   0.023  -0.007   0.107   0.062  -0.006  -0.035   0.031  -0.026   0.015   0.041
      2  -0.006   0.044  -0.069   0.070   0.069   0.039   0.093   0.040   0.102   0.001  -0.021   0.009   0.044
      3  -0.033   0.100  -0.044   0.118   0.004   0.100  -0.037   0.004   0.054  -0.003   0.000   0.061  -0.035
      4  -0.024   0.035   0.012   0.018   0.035   0.034   0.014  -0.025   0.034   0.018  -0.048   0.005  -0.055
      5  -0.042   0.088   0.031   0.052   0.083  -0.018   0.008   0.042  -0.037   0.077   0.048   0.059   0.058
      6   0.024   0.144   0.040   0.052   0.070   0.033  -0.005  -0.026  -0.057   0.039   0.034   0.067  -0.036
      7  -0.025   0.094   0.007   0.120   0.132   0.109   0.038   0.040   0.043   0.077   0.050   0.108   0.033
      8  -0.006   0.155  -0.008   0.038   0.073   0.113   0.055   0.061  -0.035   0.028   0.120   0.021   0.016
      9  -0.001   0.066  -0.008   0.034   0.074   0.092   0.074   0.038   0.072   0.067   0.078   0.091   0.055
     10  -0.050   0.101   0.015   0.131   0.029   0.056   0.082   0.008  -0.040   0.001   0.023  -0.000   0.047
     11  -0.032   0.078   0.028   0.064   0.037   0.047   0.063   0.018  -0.034   0.074   0.103   0.081  -0.006
     12   0.006   0.014  -0.023   0.058   0.033  -0.043  -0.042  -0.039  -0.005   0.064   0.022   0.044   0.014
     13  -0.045   0.039  -0.024   0.044   0.104  -0.048   0.024  -0.074  -0.038   0.035   0.002  -0.024  -0.019
     14  -0.032  -0.030  -0.007  -0.027  -0.028   0.009  -0.034  -0.038   0.035  -0.008  -0.032  -0.011   0.002
     15  -0.036   0.118   0.084   0.042   0.066   0.024  -0.066   0.016   0.013   0.030   0.030  -0.013  -0.011
     16   0.023  -0.007   0.000   0.006   0.027  -0.021   0.004  -0.039  -0.034   0.057   0.027   0.024  -0.012
     17   0.044   0.016  -0.002  -0.028  -0.006   0.007  -0.035  -0.023  -0.004   0.020   0.064   0.001   0.008
     18  -0.020  -0.010   0.063  -0.010   0.053   0.026   0.015   0.036  -0.005   0.038   0.077  -0.005  -0.032
     19  -0.008   0.090  -0.044   0.037   0.092   0.036  -0.005   0.014   0.002   0.099   0.014  -0.033  -0.016
     20   0.054   0.055  -0.020   0.088   0.001  -0.027   0.029   0.022   0.040  -0.003  -0.003   0.102   0.006
     21  -0.071   0.102   0.010   0.012   0.058   0.045   0.030   0.024   0.023  -0.011   0.014   0.130  -0.004
     22   0.007  -0.006   0.030  -0.037   0.031  -0.049   0.054   0.022   0.009  -0.022  -0.019   0.007   0.028
     23   0.028  -0.064   0.010  -0.073  -0.027  -0.090  -0.005   0.079   0.006  -0.046  -0.020  -0.040   0.016
     24   0.067  -0.020   0.001  -0.037   0.000  -0.008   0.014  -0.049  -0.054  -0.002  -0.021  -0.039  -0.054
     25  -0.010  -0.017   0.058  -0.036   0.020   0.044  -0.003   0.004  -0.024   0.036   0.012   0.007  -0.007
     26  -0.045   0.045  -0.058   0.034   0.028   0.027   0.034   0.027  -0.000   0.016  -0.003   0.002  -0.029
     27   0.026  -0.012   0.029   0.051  -0.012   0.030  -0.027  -0.080  -0.011   0.018  -0.015  -0.024  -0.030
     28  -0.017   0.062   0.010  -0.009   0.013   0.042   0.040   0.045   0.058   0.047  -0.031  -0.041   0.015
     29   0.057   0.040  -0.026   0.030   0.009   0.014   0.010  -0.018  -0.009   0.031  -0.031  -0.086  -0.033
     30  -0.014   0.100   0.012   0.019   0.010  -0.007   0.020  -0.021   0.040   0.059   0.016   0.013  -0.008
     31  -0.007   0.024  -0.025   0.019  -0.058   0.024   0.004   0.019   0.048  -0.025  -0.020  -0.022  -0.054
     32  -0.068   0.032   0.014  -0.006   0.020   0.079   0.073   0.067   0.070   0.040   0.049  -0.019  -0.010
     33  -0.048  -0.005  -0.031   0.038   0.037   0.054   0.111   0.029  -0.007   0.057   0.029   0.035   0.065
     34   0.020   0.074  -0.089   0.072   0.080   0.069   0.006   0.019  -0.009   0.082   0.069   0.067   0.096
     35   0.062   0.107  -0.048   0.071   0.034   0.077   0.092   0.048   0.024   0.044   0.033   0.023   0.057
     36  -0.048   0.089   0.031   0.093   0.058   0.007   0.031   0.042   0.094   0.044   0.049   0.049   0.035
     37  -0.063   0.112  -0.010   0.093   0.125   0.091   0.042   0.028   0.029   0.128   0.080   0.119   0.002
     38  -0.026   0.175  -0.015   0.160   0.094   0.128   0.040   0.012   0.035   0.107   0.133   0.091   0.072
     39  -0.013   0.133  -0.041   0.122   0.105   0.057   0.107   0.012  -0.030   0.087   0.086  -0.017  -0.011
     40  -0.068   0.226  -0.046   0.133   0.111   0.114   0.121   0.119   0.052   0.121   0.133   0.052   0.016
     41  -0.007   0.248  -0.076   0.166   0.138   0.105   0.139   0.094   0.060   0.127   0.137   0.104   0.105
     42  -0.035   0.145  -0.003   0.122   0.143   0.211   0.144   0.100   0.066   0.157   0.189   0.088   0.033
     43  -0.050   0.230  -0.066   0.143   0.154   0.231   0.155   0.037   0.091   0.162   0.081   0.141   0.089
     44  -0.063   0.276  -0.070   0.257   0.221   0.212   0.173   0.158   0.144   0.233   0.194   0.214   0.066
     45  -0.072   0.322  -0.102   0.271   0.197   0.208   0.098   0.150   0.072   0.214   0.191   0.218   0.126
     46  -0.060   0.289  -0.022   0.250   0.204   0.209   0.083   0.068   0.005   0.156   0.181   0.137   0.124
