  Frame NC3-PO4 PO4-GL1 GL1-GL2 GL1-C1A GL2-C1B C1A-C2A C2A-C3A C3A-C4A C4A-C5A C1B-C2B C2B-C3B C3B-C4B C4B-C5B
     47  -0.065   0.411  -0.118   0.307   0.224   0.229   0.241   0.160   0.179   0.155   0.141   0.170   0.090
     48  -0.103   0.391  -0.095   0.323   0.271   0.266   0.259   0.152   0.098   0.270   0.245   0.108   0.151
     49  -0.063   0.456  -0.040   0.370   0.265   0.366   0.290   0.187   0.096   0.289   0.235   0.215   0.102
     50  -0.040   0.538  -0.196   0.423   0.282   0.397   0.329   0.233   0.130   0.326   0.294   0.207   0.046
     51  -0.112   0.544  -0.097   0.327   0.336   0.304   0.282   0.276   0.125   0.290   0.293   0.218   0.063
     52  -0.116   0.533  -0.142   0.422   0.380   0.347   0.373   0.215   0.119   0.340   0.341   0.184   0.152
     53  -0.135   0.489  -0.135   0.378   0.425   0.404   0.384   0.270   0.155   0.404   0.316   0.283   0.154
     54  -0.114   0.586  -0.164   0.416   0.331   0.404   0.351   0.249   0.179   0.453   0.396   0.239   0.121
     55  -0.067   0.525  -0.131   0.370   0.404   0.500   0.358   0.258   0.193   0.398   0.335   0.250   0.152
     56  -0.103   0.567  -0.145   0.478   0.399   0.453   0.401   0.250   0.139   0.400   0.430   0.268   0.160
     57  -0.148   0.594  -0.215   0.472   0.431   0.454   0.364   0.324   0.179   0.428   0.319   0.259   0.148
     58  -0.169   0.586  -0.168   0.490   0.414   0.498   0.360   0.295   0.222   0.412   0.365   0.323   0.186
     59  -0.067   0.594  -0.161   0.471   0.377   0.444   0.429   0.265   0.203   0.426   0.366   0.279   0.222
     60  -0.130   0.585  -0.171   0.515   0.442   0.471   0.360   0.348   0.186   0.433   0.405   0.257   0.121
     61  -0.107   0.594  -0.175   0.407   0.504   0.541   0.465   0.283   0.229   0.507   0.400   0.303   0.209
     62  -0.138   0.578  -0.189   0.524   0.450   0.496   0.401   0.309   0.179   0.428   0.436   0.360   0.240
     63  -0.122   0.613  -0.212   0.482   0.463   0.447   0.431   0.260   0.188   0.423   0.432   0.312   0.188
     64  -0.074   0.572  -0.177   0.474   0.477   0.508   0.456   0.319   0.199   0.493   0.385   0.285   0.210
     65  -0.173   0.594  -0.153   0.498   0.389   0.499   0.412   0.340   0.147   0.499   0.436   0.387   0.136
     66  -0.098   0.614  -0.176   0.451   0.438   0.408   0.427   0.419   0.238   0.526   0.406   0.266   0.116
     67  -0.080   0.604  -0.186   0.546   0.342   0.530   0.484   0.284   0.259   0.445   0.419   0.304   0.255
     68  -0.106   0.567  -0.178   0.477   0.452   0.499   0.448   0.341   0.228   0.490   0.454   0.276   0.202
     69  -0.136   0.611  -0.197   0.482   0.373   0.489   0.439   0.250   0.148   0.373   0.386   0.272   0.160
     70  -0.089   0.553  -0.204   0.507   0.435   0.496   0.441   0.296   0.159   0.383   0.343   0.242   0.117
     71  -0.102   0.593  -0.185   0.476   0.431   0.550   0.462   0.335   0.231   0.411   0.400   0.307   0.178
     72  -0.111   0.611  -0.168   0.460   0.475   0.533   0.459   0.349   0.233   0.468   0.434   0.320   0.225
     73  -0.172   0.550  -0.235   0.553   0.479   0.535   0.443   0.349   0.230   0.484   0.447   0.325   0.210
     74  -0.078   0.591  -0.160   0.444   0.355   0.516   0.373   0.251   0.248   0.466   0.407   0.267   0.103
     75  -0.096   0.571  -0.155   0.513   0.373   0.520   0.433   0.314   0.197   0.422   0.396   0.252   0.126
     76  -0.075   0.603  -0.131   0.465   0.434   0.480   0.399   0.370   0.212   0.427   0.358   0.254   0.203
     77  -0.151   0.552  -0.167   0.514   0.354   0.505   0.402   0.334   0.261   0.361   0.400   0.391   0.244
     78  -0.072   0.564  -0.151   0.533   0.388   0.504   0.371   0.310   0.201   0.433   0.342   0.259   0.135
     79  -0.093   0.593  -0.208   0.458   0.452   0.465   0.383   0.340   0.143   0.437   0.360   0.324   0.231
     80  -0.106   0.595  -0.180   0.486   0.359   0.419   0.394   0.267   0.204   0.402   0.388   0.278   0.239
     81  -0.097   0.616  -0.157   0.454   0.411   0.462   0.382   0.253   0.100   0.432   0.354   0.297   0.177
     82  -0.085   0.551  -0.208   0.476   0.451   0.452   0.405   0.348   0.159   0.511   0.381   0.237   0.161
     83  -0.102   0.549  -0.141   0.472   0.446   0.422   0.393   0.325   0.198   0.391   0.417   0.319   0.309
     84  -0.154   0.556  -0.179   0.511   0.455   0.508   0.404   0.308   0.167   0.487   0.442   0.345   0.195
     85  -0.086   0.588  -0.220   0.486   0.398   0.438   0.428   0.304   0.257   0.476   0.430   0.317   0.217
     86  -0.129   0.535  -0.172   0.496   0.443   0.531   0.414   0.305   0.269   0.458   0.430   0.328   0.239
     87  -0.093   0.559  -0.188   0.499   0.411   0.482   0.423   0.350   0.270   0.451   0.414   0.338   0.233
     88  -0.085   0.607  -0.199   0.532   0.398   0.511   0.399   0.299   0.233   0.481   0.399   0.267   0.149
     89  -0.119   0.574  -0.179   0.522   0.360   0.508   0.472   0.337   0.222   0.432   0.395   0.295   0.227
     90  -0.085   0.595  -0.210   0.489   0.446   0.501   0.463   0.258   0.126   0.458   0.389   0.267   0.144
     91  -0.138   0.609  -0.172   0.436   0.435   0.470   0.411   0.360   0.242   0.475   0.331   0.304   0.086
     92  -0.083   0.605  -0.164   0.451   0.381   0.437   0.412   0.329   0.239   0.443   0.426   0.294   0.217
     93  -0.161   0.614  -0.118   0.486   0.409   0.436   0.376   0.349   0.166   0.408   0.377   0.365   0.131
     94  -0.118   0.537  -0.137   0.509   0.410   0.439   0.405   0.290   0.192   0.482   0.349   0.274   0.088
     95  -0.156   0.568  -0.173   0.461   0.466   0.468   0.466   0.322   0.146   0.448   0.388   0.370   0.183
     96  -0.134   0.573  -0.175   0.483   0.425   0.483   0.335   0.301   0.216   0.452   0.410   0.223   0.087
     97  -0.149   0.566  -0.205   0.511   0.405   0.483   0.419   0.282   0.223   0.488   0.424   0.301   0.181
     98  -0.080   0.525  -0.175   0.493   0.436   0.482   0.418   0.280   0.244   0.436   0.375   0.277   0.106
     99  -0.114   0.600  -0.190   0.505   0.459   0.497   0.387   0.198   0.166   0.419   0.412   0.354   0.115
    100  -0.191   0.602  -0.180   0.492   0.401   0.494   0.499   0.392   0.221   0.499   0.410   0.311   0.190
---------------------------------------------------------------------------------------------------------------
average  -0.067   0.342  -0.095   0.279   0.243   0.273   0.233   0.170   0.112   0.254   0.223   0.170   0.097
Abs average order parameters for carbon chains <Sn> =    0.206 

