nodes
A0A0U1RRE5
A1L020
A2A288
A5YKK6
O00165
O15116
P06730
P19474
P26196
P26651
P62310
P62312
Q504Q3
Q58A45
Q6P2E9
Q6ZN04
Q8IU60
Q8IYB7
Q8IZD4
Q8IZH2
Q8ND56
Q8NDV7
Q8TD31
Q8WWM7
Q93062
Q96F86
Q96LT7
Q99700
Q9H9G7
Q9H9Z2
Q9HCE1
Q9NPI6
Q9NPJ4
Q9UK45
Q9UL18
Q9UPQ9
Q9Y333
Q9Y4Y9
Q9Y4Z0
Q9Y5A9
O60506
A2A3K4
A4D256
O00159
O00311
O00408
O00425
O00541
O00567
O00584
O00746
O00750
O14744
O14936
O14974
O15063
O15067
O15226
O15234
O15297
O15342
O15530
O43143
O43283
O43347
O43390
O43423
O43447
O43482
O43520
O43734
O43924
O60264
O60331
O60729
O60812
O75151
O75175
O75179
O75340
O75367
O75533
O75563
O75582
O75688
O75747
O75830
O75914
O94762
O94768
O94832
O94921
O95140
O95147
O95628
O95747
O95755
O95861
O96013
P01106
P01876
P02647
P02768
P02787
P04792
P05089
P05109
P05141
P05198
P06702
P06748
P07910
P0C7T5
P0DOY2
P10155
P11388
P11940
P12236
P12273
P12532
P12956
P13010
P13385
P14207
P15927
P16499
P17252
P17858
P19525
P20700
P22087
P23396
P23468
P23469
P23497
P23677
P25311
P25789
P27361
P27986
P29122
P29508
P30307
P30613
P32455
P33993
P35462
P35573
P35580
P38159
P38919
P39748
P41743
P42858
P43243
P46087
P46926
P47929
P48730
P49336
P49585
P49756
P49792
P51575
P51805
P51813
P52272
P52789
P53041
P53370
P53779
P54652
P54821
P57078
P60900
P61254
P61626
P61981
P62249
P62495
P62701
P62913
P62979
P67809
P68366
P78312
Q00839
Q01082
Q01469
Q02241
Q02413
Q02880
Q03252
Q05397
Q05516
Q06787
Q07352
Q08211
Q08345
Q08493
Q08554
Q09013
Q09161
Q12796
Q12873
Q12905
Q12906
Q12926
Q13131
Q13206
Q13242
Q13243
Q13308
Q13370
Q13501
Q13507
Q13627
Q13705
Q13813
Q14055
Q14151
Q14201
Q14296
Q14432
Q14671
Q14683
Q14957
Q14980
Q15029
Q15233
Q15361
Q15365
Q15366
Q15717
Q16566
Q16828
Q2Q1W2
Q562R1
Q5S007
Q5TAX3
Q5W0B1
Q6E0U4
Q6P2H3
Q6UWP8
Q6ZNF0
Q6ZUJ8
Q71F23
Q7L2E3
Q7RTN6
Q7Z2W4
Q7Z2Y5
Q7Z3K6
Q7Z7J9
Q86TB9
Q86UW6
Q8IUX4
Q8IWB6
Q8IWZ3
Q8IZJ4
Q8N122
Q8N3R9
Q8N4P3
Q8NDT2
Q8NEJ0
Q8NFU5
Q8NHL6
Q8NHU6
Q8NHV4
Q8TB72
Q8TCB0
Q8TDN6
Q8TED0
Q8TEP8
Q8TEQ6
Q8TF05
Q8TF46
Q8WU08
Q8WUM4
Q8WXG6
Q8WXI4
Q8WYL5
Q92540
Q92545
Q92600
Q92628
Q92630
Q92686
Q92729
Q92824
Q92900
Q92945
Q92993
Q92997
Q93100
Q96A00
Q96AE7
Q96E39
Q96EF0
Q96GQ7
Q96HF1
Q96IZ7
Q96J92
Q96KR1
Q96L34
Q96LI5
Q96LZ3
Q96P63
Q96QA5
Q96QG7
Q96RE7
Q96RR4
Q96RU2
Q96SB4
Q96SI9
Q96T37
Q99502
Q99590
Q99640
Q99755
Q99759
Q9BQ39
Q9BUM1
Q9BX40
Q9BXA6
Q9BYG3
Q9BZB8
Q9BZE4
Q9BZI7
Q9BZL4
Q9BZP6
Q9C098
Q9C0C2
Q9C0J8
Q9C0K7
Q9GZM8
Q9H2U2
Q9H3G5
Q9H4E7
Q9H6R4
Q9H6S0
Q9H7B2
Q9H9A5
Q9HAU5
Q9HC16
Q9HCD5
Q9HCJ0
Q9HCS7
Q9HD43
Q9NR20
Q9NR30
Q9NRA0
Q9NRA8
Q9NRC1
Q9NRD5
Q9NRR3
Q9NSY1
Q9NUD5
Q9NUL3
Q9NUL5
Q9NVI7
Q9NVP1
Q9NW13
Q9NX58
Q9NY59
Q9NZB2
Q9NZI8
Q9NZM5
Q9NZN8
Q9UBQ7
Q9UFF9
Q9UGY1
Q9UHX1
Q9UIG0
Q9UIV1
Q9UJV9
Q9UKM9
Q9UKS6
Q9UKV8
Q9UKZ1
Q9ULM6
Q9UPR3
Q9UPT9
Q9UQE7
Q9UQK1
Q9Y2H9
Q9Y2X3
Q9Y3A2
Q9Y4A5
Q9Y4C8
Q9Y4F3
Q9Y4I1
Q9Y4K3
Q9Y5J1
Q9Y6M1
Q9Y6M4
Q9Y6R1
Q9Y6T7
