nodes
O43390
O43809
O60479
O75177
O75494
P09651
P10071
P23246
P31942
P31943
P35637
P38159
P48436
P52597
P61129
P61978
P98179
Q01844
Q13148
Q13761
Q14011
Q14157
Q15233
Q16630
Q32P51
Q5HY92
Q5TGY3
Q5U5Q3
Q8N684
Q8NCA5
Q8WXF1
Q92804
Q96EP5
Q96J87
Q96PK6
Q9BQ04
Q9BUJ2
Q9H165
Q9H1Q7
Q9H4Z2
Q9NTZ6
Q9ULX6
Q9Y580
A0A075B6S2
A0A0A0MRZ7
A2NJV5
A8MWD9
E9PAV3
O00571
O15020
O15042
O43175
O43290
O43318
O43474
O43707
O60256
O60506
O75369
O75688
O75821
O94903
O95104
O95758
O95881
P02545
P04406
P06576
P06753
P07237
P08621
P08670
P09429
P09493
P10412
P10644
P11021
P11532
P12270
P13498
P13639
P13647
P15311
P15531
P15924
P15927
P15976
P16989
P17028
P22102
P22392
P22626
P23381
P23528
P23588
P24534
P25205
P25398
P25705
P26368
P27348
P27816
P28289
P29692
P30048
P31948
P32119
P33992
P35244
P35579
P35580
P35611
P35908
P40939
P42166
P42167
P43243
P43246
P46821
P47756
P50395
P52732
P52815
P52907
P54105
P55036
P57721
P60709
P61353
P61964
P62140
P62158
P62241
P62308
P62888
P63261
P67809
P68363
P68371
P78332
P83731
P84090
P98170
P98175
Q01082
Q01804
Q03252
Q03393
Q04917
Q05519
Q06830
Q07021
Q09666
Q13151
Q13162
Q13185
Q13283
Q13409
Q13435
Q13561
Q13765
Q13813
Q13885
Q14103
Q14153
Q14247
Q14257
Q14315
Q14444
Q14566
Q14681
Q14766
Q15057
Q15084
Q15181
Q15428
Q15459
Q15750
Q15942
Q16543
Q16576
Q16643
Q2YD98
Q4VCS5
Q52LJ0
Q5T447
Q5T4S7
Q5W0B1
Q68D86
Q6NSI3
Q6UX04
Q86U42
Q86V81
Q86XP3
Q8IWI9
Q8IWX8
Q8IX12
Q8N0Y2
Q8N163
Q8N3C0
Q8N5C8
Q8N5P1
Q8NC51
Q8TAA3
Q8TC92
Q8WU90
Q8WUA2
Q8WWY3
Q92945
Q969G3
Q96A72
Q96C19
Q96DI7
Q96FZ7
Q96KG9
Q96PU8
Q99417
Q99714
Q99729
Q99873
Q9BQA1
Q9BRS2
Q9BTE1
Q9BUA3
Q9BWU0
Q9C0C2
Q9H0B3
Q9H9J2
Q9NQ92
Q9NRF2
Q9NXV2
Q9NY12
Q9NYC9
Q9NYJ8
Q9NYL9
Q9P1Y5
Q9UHB6
Q9UHX1
Q9UJV9
Q9UN86
Q9UNS2
Q9UPT8
Q9UQ35
Q9Y230
Q9Y2W1
Q9Y3Y2
Q9Y490
Q9Y4E8
Q9Y4Y9
Q9Y657
Q9Y6A5
Q9Y6Y0
