nodes
A8CG34
O60318
P12270
P20592
P49792
P52948
P55735
P57740
Q12769
Q14764
Q53GS7
Q8N1F7
Q8TD16
Q8WUM0
Q8WYP5
Q92621
Q96HA1
Q9BW27
Q9BXS6
Q9HC62
Q9NPA8
Q9NR21
Q9NRG9
Q9UKX7
